"player_id","full_name","position","posteam","targets","carries","team_targets","team_carries","catch_percentage","yards_per_carry","yards_per_rec","exp_ppg","games","carry_share","target_share"
"00-0023459","Aaron Rodgers","QB","NYJ",0,0,22,28,0,0,0,0.34,1,0,0
"00-0026498","Matthew Stafford","QB","LA",0,8,126,75,0,4.375,0,20.41,3,0.106666666666667,0
"00-0027696","Jimmy Graham","TE","NO",1,0,34,22,1,0,8,3.17,1,0,0.0294117647058824
"00-0027948","Blaine Gabbert","QB","KC",0,2,38,37,0,-0.5,0,1.32,1,0.0540540540540541,0
"00-0027973","Andy Dalton","QB","CAR",0,2,58,14,0,5.5,0,17.97,1,0.142857142857143,0
"00-0028002","Randall Cobb","WR","NYJ",4,0,85,66,0.25,0,12,1.94,3,0,0.0470588235294118
"00-0028118","Tyrod Taylor","QB","NYG",0,1,63,39,0,2,0,0.655,2,0.0256410256410256,0
"00-0029263","Russell Wilson","QB","DEN",0,7,104,65,0,8.14285714285714,0,17.5033333333333,3,0.107692307692308,0
"00-0029293","Marvin Jones","WR","DET",6,0,35,34,0.333333333333333,0,4,9.21,1,0,0.171428571428571
"00-0029604","Kirk Cousins","QB","MIN",0,4,138,50,0,4.25,0,24.9633333333333,3,0.08,0
"00-0029701","Ryan Tannehill","QB","TEN",0,4,83,71,0,4.25,0,11.2866666666667,3,0.0563380281690141,0
"00-0029892","Kyle Juszczyk","RB","SF",0,1,37,39,0,3,0,0.39,1,0.0256410256410256,0
"00-0030035","Adam Thielen","WR","CAR",25,0,129,65,0.8,0,10.55,12.65,3,0,0.193798449612403
"00-0030061","Zach Ertz","TE","ARI",20,0,82,84,0.7,0,5.92857142857143,10.9233333333333,3,0,0.24390243902439
"00-0030068","Marquise Goodwin","WR","CLE",4,1,102,106,0,1,0,3.33,3,0.00943396226415094,0.0392156862745098
"00-0030279","Keenan Allen","WR","LAC",39,2,122,76,0.82051282051282,3,12.5625,23.8133333333333,3,0.0263157894736842,0.319672131147541
"00-0030431","Robert Woods","WR","HOU",25,0,121,75,0.6,0,11,12.8933333333333,3,0,0.206611570247934
"00-0030506","Travis Kelce","TE","KC",17,0,79,59,0.647058823529412,0,8.63636363636364,18.01,2,0,0.215189873417722
"00-0030513","Latavius Murray","RB","BUF",5,13,110,90,0.8,3.46153846153846,6,8.54333333333333,3,0.144444444444444,0.0454545454545455
"00-0030564","DeAndre Hopkins","WR","TEN",25,0,83,71,0.56,0,10.9285714285714,11.7033333333333,3,0,0.301204819277108
"00-0030565","Geno Smith","QB","SEA",0,8,103,76,0,2.75,0,17.88,3,0.105263157894737,0
"00-0031235","Odell Beckham","WR","BAL",7,0,55,69,0.714285714285714,0,13.2,6.31,2,0,0.127272727272727
"00-0031236","Brandin Cooks","WR","DAL",11,0,65,63,0.363636363636364,0,9.75,11.12,2,0,0.169230769230769
"00-0031260","Logan Thomas","TE","WAS",11,0,70,51,0.545454545454545,0,10.8333333333333,9.33,2,0,0.157142857142857
"00-0031280","Derek Carr","QB","NO",0,6,104,82,0,0,0,15.3366666666667,3,0.0731707317073171,0
"00-0031345","Jimmy Garoppolo","QB","LV",0,12,94,63,0,1.58333333333333,0,16.12,3,0.19047619047619,0
"00-0031376","Jerick McKinnon","RB","KC",8,3,118,82,0.875,2.33333333333333,7.57142857142857,6.02,3,0.0365853658536585,0.0677966101694915
